Timestamp,Distance,Hits,Misses,Level,Score,ScoreLossPowerups,ScoreLoss,ScoreGain,LaneSwitches,ReachedEnd,powerups_pickedup,powerups_used,Score,Score
9/23/2022 20:56:59,0439.83 175 0 alive,,,,,,,,,,,,,
9/23/2022 21:22:45,0220.15 89 0 alive,,,,,,,,,,,,,
9/23/2022 23:14:42,0279.96 40 0 alive,,,,,,,,,,,,,
9/24/2022 5:30:08,0220.51 80 0 alive,,,,,,,,,,,,,
9/24/2022 5:30:42,0199.77 96 0 alive,,,,,,,,,,,,,
9/24/2022 5:31:54,0439.10 136 0 alive,,,,,,,,,,,,,
9/24/2022 5:35:45,0151.94 0 60 dead,,,,,,,,,,,,,
9/24/2022 22:40:16,0230.93 0 20 dead,,,,,,,,,,,,,
9/25/2022 12:41:50,0142.98 0 100 dead,,,,,,,,,,,,,
9/26/2022 1:19:13,0220.21 78 0 alive,,,,,,,,,,,,,
9/26/2022 9:24:39,0014.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:24:48,0009.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:26:12,0278.00 0 10 dead,,,,,,,,,,,,,
9/26/2022 9:30:40,0018.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:30:47,0012.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:31:02,0041.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:31:22,0067.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 9:32:11,0084.15 -6 100 dead,,,,,,,,,,,,,
9/26/2022 9:32:40,0084.15 -6 100 dead,,,,,,,,,,,,,
9/26/2022 9:33:02,0094.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:33:27,0094.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:33:38,0042.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:33:55,0042.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:34:10,0074.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:34:26,0074.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:34:56,0131.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:35:09,0131.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:35:30,0082.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:35:54,0082.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:36:19,0144.09 -7 100 dead,,,,,,,,,,,,,
9/26/2022 9:38:35,0144.09 -7 100 dead,,,,,,,,,,,,,
9/26/2022 9:38:48,0061.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:39:06,0061.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 9:39:31,0148.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:10:22,0064.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:10:36,0066.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:11:20,0066.99 0 100 dead,,,,,,,,,,,,,
