Timestamp,Level,Restart_Quit
10/20/2022 21:53:29,level_three,Quit
10/20/2022 22:03:53,level_six,Quit
10/20/2022 22:04:39,level_two,Quit
10/20/2022 22:05:43,level_six,Quit
10/20/2022 22:06:18,level_seven,Restart
10/20/2022 22:07:01,level_seven,Quit
10/20/2022 22:10:12,level_one,Restart
10/20/2022 22:10:13,level_one,Quit
10/20/2022 22:11:00,level_two,Quit
10/20/2022 22:11:03,level_three,Quit
10/20/2022 22:11:04,level_four,Quit
10/20/2022 22:11:05,level_five,Quit
10/20/2022 22:11:10,level_six,Quit
10/20/2022 22:11:12,level_seven,Quit
10/20/2022 22:11:14,level_six,Quit
10/20/2022 22:11:17,level_four,Quit
10/20/2022 22:11:18,level_two,Quit
10/20/2022 22:11:19,level_three,Quit
10/20/2022 22:11:21,level_two,Quit
10/20/2022 22:11:22,level_one,Quit
10/20/2022 22:11:23,level_one,Quit
10/20/2022 22:11:24,level_two,Quit
10/20/2022 22:11:26,level_three,Quit
10/20/2022 22:11:27,level_four,Quit
10/20/2022 22:11:28,level_five,Quit
10/20/2022 22:11:29,level_six,Quit
10/20/2022 22:11:30,level_seven,Quit
10/20/2022 22:12:04,level_two,Quit
10/20/2022 22:12:07,level_three,Quit
10/20/2022 22:12:09,level_four,Quit
10/20/2022 22:12:12,level_six,Quit
10/20/2022 22:12:13,level_seven,Quit
10/20/2022 22:13:04,level_two,Quit
10/20/2022 22:13:06,level_three,Quit
10/20/2022 22:13:07,level_four,Quit
10/20/2022 22:13:09,level_six,Quit
10/20/2022 22:13:11,level_seven,Quit
10/20/2022 22:13:17,level_six,Quit
10/20/2022 22:13:55,level_six,Restart
10/20/2022 22:13:56,level_six,Quit
10/20/2022 22:14:36,level_six,Restart
10/20/2022 22:15:27,level_six,Quit
10/20/2022 22:22:30,level_two,Quit
10/20/2022 22:22:56,level_three,Quit
10/20/2022 22:23:33,level_six,Quit
10/20/2022 23:24:55,level_two,Quit
10/20/2022 23:30:13,level_two,Quit
10/20/2022 23:30:16,level_five,Quit
10/20/2022 23:30:56,level_two,Quit
10/20/2022 23:35:55,level_two,Quit
10/20/2022 23:36:20,level_one,Restart
10/20/2022 23:36:21,level_one,Quit
10/20/2022 23:36:49,level_one,Quit
10/20/2022 23:37:11,level_two,Quit
10/20/2022 23:37:34,level_one,Quit
10/20/2022 23:37:37,level_one,Quit
10/20/2022 23:38:52,level_two,Quit
10/20/2022 23:38:55,level_five,Quit
10/20/2022 23:38:59,level_one,Quit
10/20/2022 23:39:01,level_two,Quit
10/20/2022 23:52:58,level_one,Quit
10/20/2022 23:53:31,level_two,Quit
10/20/2022 23:54:10,level_two,Restart
10/20/2022 23:55:06,level_two,Restart
10/20/2022 23:55:12,level_two,Restart
10/20/2022 23:57:45,level_two,Restart
10/20/2022 23:58:58,level_two,Quit
10/21/2022 4:40:10,level_six,Restart
10/21/2022 4:41:47,level_five,Restart
10/21/2022 4:48:19,level_seven,Restart
10/21/2022 4:48:40,level_seven,Restart
10/21/2022 4:49:01,level_seven,Restart
10/21/2022 4:49:16,level_seven,Restart
10/21/2022 4:49:17,level_seven,Restart
10/21/2022 4:50:02,level_seven,Quit
10/21/2022 4:52:10,level_seven,Quit
10/21/2022 8:14:12,level_five,Quit
10/21/2022 8:14:35,level_five,Restart
10/21/2022 8:15:47,level_five,Quit
10/21/2022 8:16:46,level_six,Quit
10/21/2022 8:28:36,level_one,Quit
10/21/2022 8:28:46,level_two,Quit
10/21/2022 8:29:08,level_three,Quit
10/21/2022 8:29:23,level_four,Quit
10/21/2022 8:29:37,level_five,Quit
10/21/2022 8:29:52,level_six,Quit
10/21/2022 8:30:14,level_seven,Quit
10/21/2022 8:37:01,level_two,Restart
10/21/2022 8:46:04,level_five,Quit
10/21/2022 8:55:45,level_five,Restart
10/21/2022 8:56:19,level_five,Restart
10/21/2022 8:56:42,level_five,Restart
10/21/2022 8:57:12,level_five,Restart
10/21/2022 8:57:37,level_five,Quit
10/21/2022 9:00:58,level_seven,Restart
10/21/2022 9:01:28,level_seven,Quit
10/21/2022 9:05:59,level_seven,Restart
10/21/2022 9:06:26,level_seven,Restart
10/21/2022 9:07:23,level_seven,Quit
10/21/2022 9:13:09,level_five,Restart
10/21/2022 9:13:17,level_five,Restart
10/21/2022 9:18:36,level_seven,Restart
10/21/2022 9:19:43,level_seven,Restart
10/21/2022 9:20:01,level_seven,Restart
10/21/2022 9:27:51,level_seven,Restart
10/21/2022 9:28:04,level_seven,Restart
10/21/2022 9:30:21,level_seven,Quit
10/21/2022 10:01:15,level_seven,Restart
10/21/2022 10:01:29,level_seven,Restart
10/21/2022 10:02:03,level_seven,Quit
10/21/2022 10:06:36,level_six,Restart
10/21/2022 10:07:01,level_six,Restart
10/21/2022 10:07:53,level_six,Quit
10/21/2022 10:10:12,level_six,Restart
10/21/2022 10:10:41,level_six,Restart
10/21/2022 10:11:08,level_six,Quit
10/21/2022 10:16:49,level_six,Restart
10/21/2022 10:17:44,level_six,Quit
10/21/2022 10:18:09,level_six,Restart
10/21/2022 11:01:40,level_five,Restart
10/21/2022 11:01:53,level_five,Restart
10/21/2022 11:02:04,level_five,Restart
10/21/2022 11:22:53,level_one,Quit
10/21/2022 11:22:55,level_five,Quit
10/21/2022 12:33:58,level_one,Quit
10/21/2022 12:34:10,level_two,Quit
10/21/2022 12:35:54,level_four,Quit
10/21/2022 12:36:02,level_five,Quit
10/21/2022 12:36:05,level_two,Quit
10/21/2022 12:36:08,level_one,Quit
10/21/2022 12:36:10,level_four,Quit
10/21/2022 12:36:13,level_three,Quit
10/21/2022 12:36:15,level_six,Quit
10/21/2022 12:36:17,level_seven,Quit
10/21/2022 12:41:02,level_one,Quit
10/21/2022 12:41:17,level_seven,Quit
10/21/2022 12:41:19,level_six,Quit
10/21/2022 12:41:33,level_three,Quit
10/21/2022 12:42:34,level_four,Quit
10/21/2022 12:42:45,level_one,Quit
10/21/2022 12:42:59,level_two,Quit
10/21/2022 12:43:00,level_two,Quit
10/21/2022 12:43:05,level_six,Quit
10/21/2022 12:43:08,level_seven,Quit
10/21/2022 12:43:15,level_five,Quit
10/21/2022 12:43:19,level_one,Quit
10/21/2022 12:43:21,level_two,Quit
10/21/2022 12:43:26,level_three,Quit
10/21/2022 12:43:33,level_four,Quit
10/21/2022 12:43:36,level_four,Quit
10/21/2022 12:43:37,level_five,Quit
10/21/2022 12:43:39,level_six,Quit
10/21/2022 12:43:45,level_seven,Quit
10/21/2022 13:13:53,level_one,Quit
10/21/2022 13:13:56,level_two,Quit
10/21/2022 13:13:59,level_three,Quit
10/21/2022 13:14:02,level_four,Quit
10/21/2022 13:14:04,level_five,Quit
10/21/2022 13:33:36,level_one,Restart
10/21/2022 13:33:39,level_one,Quit
10/21/2022 13:33:56,level_seven,Restart
10/21/2022 13:34:11,level_seven,Restart
10/21/2022 13:34:24,level_seven,Restart
10/21/2022 13:34:39,level_seven,Restart
10/21/2022 13:35:14,level_five,Quit
10/21/2022 13:35:17,level_seven,Quit
10/21/2022 13:35:53,level_six,Restart
10/21/2022 13:36:23,level_three,Quit
10/21/2022 13:36:25,level_six,Quit
10/21/2022 13:36:25,level_one,Restart
10/21/2022 13:36:26,level_one,Quit
10/21/2022 13:36:45,level_two,Restart
10/21/2022 13:36:56,level_one,Restart
10/21/2022 13:36:59,level_one,Restart
10/21/2022 13:36:59,level_one,Restart
10/21/2022 13:37:09,level_one,Restart
10/21/2022 13:37:27,level_one,Restart
10/21/2022 13:37:29,level_seven,Quit
10/21/2022 13:37:34,level_two,Quit
10/21/2022 13:37:40,level_one,Quit
10/21/2022 13:37:44,level_one,Restart
10/21/2022 13:38:10,level_one,Restart
10/21/2022 13:38:46,level_one,Quit
10/21/2022 13:39:04,level_one,Restart
10/21/2022 13:39:14,level_one,Restart
10/21/2022 13:39:47,level_three,Quit
10/21/2022 13:40:17,level_six,Restart
10/21/2022 13:40:20,level_six,Restart
10/21/2022 13:40:22,level_six,Restart
